id,year,loan_limit,gender,approved_in_advance,loan_type,loan_purpose,credit_worthiness,open_credit,loan_category,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,loan_term,negative_amortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,annual_income,credit_type,credit_score,co_applicant_credit_type,age_group,submission_type,loan_to_value_ratio,region,security_type,is_loan_default,debt_to_income_ratio,ltv_band
24890,2019,Conforming,Unknown,Not Pre-Approved,type1,p1,High Risk,No,Personal,116500,3.99,0.3528,2627.1,360,No,No,No,118000,Site Build,Permanent Residency,Home,1,1740,EXP,758,CIB,25-34,Through Institution,0.9873,South,Direct,1,45,>80%
24891,2019,Conforming,Male,Not Pre-Approved,type2,p1,High Risk,No,Business,206500,3.99,0.9621,2627.1,360,No,No,Yes,418000,Site Build,Permanent Residency,Home,1,4980,EQUI,552,EXP,55-64,Through Institution,0.4940,North,Direct,1,43,<60%
24892,2019,Conforming,Male,Pre-Approved,type1,p1,High Risk,No,Personal,406500,4.56,0.2,595,360,Yes,No,No,508000,Site Build,Permanent Residency,Home,1,9480,EXP,834,CIB,35-44,Through Institution,0.8002,South,Direct,0,46,>80%
24893,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,456500,4.25,0.681,2627.1,360,No,No,No,658000,Site Build,Permanent Residency,Home,1,11880,EXP,587,CIB,45-54,Direct,0.6938,North,Direct,0,42,60-80%
24894,2019,Conforming,Joint,Pre-Approved,type1,p1,High Risk,No,Personal,696500,4,0.3042,0,360,No,No,No,758000,Site Build,Permanent Residency,Home,1,10440,CRIF,602,EXP,25-34,Direct,0.9189,North,Direct,0,39,>80%
24895,2019,Conforming,Joint,Pre-Approved,type1,p1,High Risk,No,Personal,706500,3.99,0.1523,370,360,No,No,No,1008000,Site Build,Permanent Residency,Home,1,10080,EXP,864,EXP,35-44,Direct,0.7009,North,Direct,0,40,60-80%
24896,2019,Conforming,Joint,Pre-Approved,type1,p3,High Risk,No,Personal,346500,4.5,0.9998,5120,360,No,No,No,438000,Site Build,Permanent Residency,Home,1,5040,EXP,860,EXP,55-64,Through Institution,0.7911,North,Direct,0,44,60-80%
24897,2019,Unknown,Female,Not Pre-Approved,type1,p4,High Risk,No,Personal,266500,4.125,0.2975,5609.88,360,No,No,No,308000,Site Build,Permanent Residency,Home,1,3780,CIB,863,CIB,55-64,Through Institution,0.8653,North,Direct,0,42,>80%
24898,2019,Conforming,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,376500,4.875,0.7395,1150,360,No,No,No,478000,Site Build,Permanent Residency,Home,1,5580,CIB,580,EXP,55-64,Through Institution,0.7877,Central,Direct,0,44,60-80%
24899,2019,Conforming,Unknown,Not Pre-Approved,type3,p3,High Risk,No,Personal,436500,3.49,-0.2776,2316.5,360,No,No,No,688000,Site Build,Permanent Residency,Home,1,6720,CIB,788,EXP,55-64,Through Institution,0.6344,South,Direct,0,30,60-80%
24900,2019,Conforming,Male,Not Pre-Approved,type2,p3,Low Risk,No,Business,136500,3.99,0.9621,2627.1,300,Yes,No,No,168000,Site Build,Permanent Residency,Home,1,4020,EXP,723,CIB,55-64,Through Institution,0.8125,North,Direct,1,44,>80%
24901,2019,Conforming,Unknown,Not Pre-Approved,type1,p3,High Risk,No,Personal,466500,4.375,0.1871,1150,360,No,No,No,708000,Site Build,Permanent Residency,Home,1,9540,EXP,501,EXP,35-44,Through Institution,0.6589,South,Direct,0,36,60-80%
24902,2019,Conforming,Joint,Not Pre-Approved,type2,p3,High Risk,No,Business,206500,3.99,0.9621,2627.1,360,No,No,No,258000,Site Build,Permanent Residency,Home,1,3780,CRIF,884,EXP,65-74,Through Institution,0.8004,North,Direct,1,51,>80%
24903,2019,Conforming,Joint,Not Pre-Approved,type2,p4,High Risk,No,Business,436500,3.625,0.6146,0,360,No,No,No,508000,Site Build,Permanent Residency,Home,1,5760,CRIF,520,EXP,55-64,Through Institution,0.8593,North,Direct,0,43,>80%
